Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 10
Number of Epochs: 10000

****************
Learning Rate: 0.001
****************

Training log:
****************
Error after 100 epochs: 1.014547586613422
Error after 500 epochs: 1.0116201830405023
Error after 1000 epochs: 1.0116201827860956
Error after 2000 epochs: 1.011620182227501
Error after 5000 epochs: 1.0116201800015747
Error after 10000 epochs: 1.0116201719815492

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: D

Target: F
Prediction: D

Target: H
Prediction: D

Target: B
Prediction: D

Target: E
Prediction: D

Target: H
Prediction: D

Target: U
Prediction: D

Target: W
Prediction: D

Target: S
Prediction: D

Target: O
Prediction: D

Target: V
Prediction: D

Target: A
Prediction: D

Target: C
Prediction: D

Target: B
Prediction: D

Target: A
Prediction: D

Target: H
Prediction: D

Target: H
Prediction: D

Target: R
Prediction: D

Target: X
Prediction: D

Target: O
Prediction: D

Target: R
Prediction: D

Target: O
Prediction: D

Target: W
Prediction: D

Target: J
Prediction: D

Target: V
Prediction: D

Target: K
Prediction: D

Target: S
Prediction: D

Target: C
Prediction: D

Target: Q
Prediction: D

Target: X
Prediction: D

Target: A
Prediction: D

Target: F
Prediction: D

Target: T
Prediction: D

Target: O
Prediction: D

Target: G
Prediction: D

Target: K
Prediction: D

Target: Y
Prediction: D

Target: H
Prediction: D

Target: Z
Prediction: D

Target: C
Prediction: D

Target: P
Prediction: D

Target: C
Prediction: D

Target: Z
Prediction: D

Target: H
Prediction: D

Target: H
Prediction: D

Target: O
Prediction: D

Target: R
Prediction: D

Target: A
Prediction: D

Target: Y
Prediction: D

Target: N
Prediction: D

Target: Q
Prediction: D

Target: F
Prediction: D

Target: I
Prediction: D

Target: I
Prediction: D

Target: R
Prediction: D

Target: J
Prediction: D

Target: T
Prediction: D

Target: D
Prediction: D

Target: Q
Prediction: D

Target: P
Prediction: D

Target: P
Prediction: D

Target: V
Prediction: D

Target: W
Prediction: D

Target: J
Prediction: D

Target: P
Prediction: D

Target: K
Prediction: D

Target: M
Prediction: D

Target: K
Prediction: D

Target: N
Prediction: D

Target: P
Prediction: D

Target: O
Prediction: D

Target: F
Prediction: D

Target: R
Prediction: D

Target: D
Prediction: D

Target: D
Prediction: D

Target: M
Prediction: D

Target: Z
Prediction: D

Target: R
Prediction: D

Target: M
Prediction: D

Target: T
Prediction: D

Target: A
Prediction: D

Target: W
Prediction: D

Target: W
Prediction: D

Target: K
Prediction: D

Target: E
Prediction: D

Target: F
Prediction: D

Target: G
Prediction: D

Target: Q
Prediction: D

Target: V
Prediction: D

Target: Y
Prediction: D

Target: G
Prediction: D

Target: Y
Prediction: D

Target: O
Prediction: D

Target: I
Prediction: D

Target: X
Prediction: D

Target: U
Prediction: D

Target: G
