Initialising Weights Randomly Between 0 and 1
Hidden Units: 20
Number of Epochs: 10000

****************
Learning Rate: 0.001
****************

Training log:
****************
Error after 100 epochs: 0.9615383752042528
Error after 500 epochs: 0.9615381148148429
Error after 1000 epochs: 0.9615384225646753
Error after 2000 epochs: 0.9615383045223856
Error after 5000 epochs: 0.9646297808638294
Error after 10000 epochs: 0.967490349370661

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: P

Target: F
Prediction: P

Target: H
Prediction: P

Target: B
Prediction: P

Target: E
Prediction: P

Target: H
Prediction: P

Target: U
Prediction: P

Target: W
Prediction: P

Target: S
Prediction: P

Target: O
Prediction: P

Target: V
Prediction: P

Target: A
Prediction: P

Target: C
Prediction: P

Target: B
Prediction: P

Target: A
Prediction: P

Target: H
Prediction: P

Target: H
Prediction: P

Target: R
Prediction: P

Target: X
Prediction: P

Target: O
Prediction: P

Target: R
Prediction: P

Target: O
Prediction: P

Target: W
Prediction: P

Target: J
Prediction: P

Target: V
Prediction: P

Target: K
Prediction: P

Target: S
Prediction: P

Target: C
Prediction: P

Target: Q
Prediction: P

Target: X
Prediction: P

Target: A
Prediction: P

Target: F
Prediction: P

Target: T
Prediction: P

Target: O
Prediction: P

Target: G
Prediction: P

Target: K
Prediction: P

Target: Y
Prediction: P

Target: H
Prediction: P

Target: Z
Prediction: P

Target: C
Prediction: P

Target: P
Prediction: P

Target: C
Prediction: P

Target: Z
Prediction: P

Target: H
Prediction: P

Target: H
Prediction: P

Target: O
Prediction: P

Target: R
Prediction: P

Target: A
Prediction: P

Target: Y
Prediction: P

Target: N
Prediction: P

Target: Q
Prediction: P

Target: F
Prediction: P

Target: I
Prediction: P

Target: I
Prediction: P

Target: R
Prediction: P

Target: J
Prediction: P

Target: T
Prediction: P

Target: D
Prediction: P

Target: Q
Prediction: P

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: P

Target: W
Prediction: P

Target: J
Prediction: P

Target: P
Prediction: P

Target: K
Prediction: P

Target: M
Prediction: P

Target: K
Prediction: P

Target: N
Prediction: P

Target: P
Prediction: P

Target: O
Prediction: P

Target: F
Prediction: P

Target: R
Prediction: P

Target: D
Prediction: P

Target: D
Prediction: P

Target: M
Prediction: P

Target: Z
Prediction: P

Target: R
Prediction: P

Target: M
Prediction: P

Target: T
Prediction: P

Target: A
Prediction: P

Target: W
Prediction: P

Target: W
Prediction: P

Target: K
Prediction: P

Target: E
Prediction: P

Target: F
Prediction: P

Target: G
Prediction: P

Target: Q
Prediction: P

Target: V
Prediction: P

Target: Y
Prediction: P

Target: G
Prediction: P

Target: Y
Prediction: P

Target: O
Prediction: P

Target: I
Prediction: P

Target: X
Prediction: P

Target: U
Prediction: P

Target: G
Prediction: P

Target: N
Prediction: P

Target: Q
Prediction: P

Target: Y
Prediction: P

Target: Z
Prediction: P

Target: H
Prediction: P

Target: Q
Prediction: P

Target: O
Prediction: P

Target: S
Prediction: P

Target: O
Prediction: P

Target: I
Prediction: P

Target: G
Prediction: P

Target: G
Prediction: P

Target: P
Prediction: P

Target: W
Prediction: P

Target: Q
Prediction: P

Target: F
Prediction: P

Target: X
Prediction: P

Target: B
Prediction: P

Target: F
Prediction: P

Target: X
Prediction: P

Target: X
Prediction: P

Target: I
Prediction: P

Target: E
Prediction: P

Target: I
Prediction: P

Target: J
Prediction: P

Target: P
Prediction: P

Target: P
Prediction: P

Target: D
Prediction: P

Target: X
Prediction: P

Target: V
Prediction: P

Target: F
Prediction: P

Target: V
Prediction: P

Target: W
Prediction: P

Target: P
Prediction: P

Target: Q
Prediction: P

Target: E
Prediction: P

Target: I
Prediction: P

Target: A
Prediction: P

Target: O
Prediction: P

Target: N
Prediction: P

Target: M
Prediction: P

Target: L
Prediction: P

Target: R
Prediction: P

Target: B
Prediction: P

Target: S
Prediction: P

Target: J
Prediction: P

Target: K
Prediction: P

Target: O
Prediction: P

Target: I
Prediction: P

Target: Y
Prediction: P

Target: B
Prediction: P

Target: R
Prediction: P

Target: J
Prediction: P

Target: Z
Prediction: P

Target: N
Prediction: P

Target: B
Prediction: P

Target: S
Prediction: P

Target: U
Prediction: P

Target: J
Prediction: P

Target: Q
Prediction: P

Target: T
Prediction: P

Target: Z
Prediction: P

Target: F
Prediction: P

Target: J
Prediction: P

Target: L
Prediction: P

Target: V
Prediction: P

Target: I
Prediction: P

Target: U
Prediction: P

Target: K
Prediction: P

Target: E
Prediction: P

Target: F
Prediction: P

Target: N
Prediction: P

Target: A
Prediction: P

Target: N
Prediction: P

Target: B
Prediction: P

Target: J
Prediction: P

Target: P
Prediction: P

Target: Z
Prediction: P

Target: W
Prediction: P

Target: F
Prediction: P

Target: X
Prediction: P

Target: R
Prediction: P

Target: H
Prediction: P

Target: L
Prediction: P

Target: R
Prediction: P

Target: O
Prediction: P

Target: K
Prediction: P

Target: S
Prediction: P

Target: C
Prediction: P

Target: Y
Prediction: P

Target: Z
Prediction: P

Target: F
Prediction: P

Target: C
Prediction: P

Target: H
Prediction: P

Target: T
Prediction: P

Target: R
Prediction: P

Target: S
Prediction: P

Target: D
Prediction: P

Target: E
Prediction: P

Target: A
Prediction: P

Target: E
Prediction: P

Target: Y
Prediction: P

Target: P
Prediction: P

Target: J
Prediction: P

Target: W
Prediction: P

Target: M
Prediction: P

Target: H
Prediction: P

Target: I
Prediction: P

Target: V
Prediction: P

Target: W
Prediction: P

Target: A
Prediction: P

Target: I
Prediction: P

Target: J
Prediction: P

Target: B
Prediction: P

Target: F
Prediction: P

Target: P
Prediction: P

Target: E
Prediction: P

Target: W
Prediction: P

Target: C
Prediction: P

Target: H
Prediction: P

Target: Y
Prediction: P

Target: R
Prediction: P

Target: F
Prediction: P

Target: N
Prediction: P

Target: K
Prediction: P

Target: S
Prediction: P

Target: Z
Prediction: P

Target: M
Prediction: P

Target: F
Prediction: P

Target: C
Prediction: P

Target: C
Prediction: P

Target: O
Prediction: P

Target: N
Prediction: P

Target: C
Prediction: P

Target: E
Prediction: P

Target: B
Prediction: P

Target: B
Prediction: P

Target: G
Prediction: P

Target: N
Prediction: P

Target: S
Prediction: P

Target: D
Prediction: P

Target: G
Prediction: P

Target: V
Prediction: P

Target: Q
Prediction: P

Target: W
Prediction: P

Target: T
Prediction: P

Target: K
Prediction: P

Target: J
Prediction: P

Target: A
Prediction: P

Target: N
Prediction: P

Target: R
Prediction: P

Target: C
Prediction: P

Target: H
Prediction: P

Target: E
Prediction: P

Target: I
Prediction: P

Target: D
Prediction: P

Target: G
Prediction: P

Target: Z
Prediction: P

Target: J
Prediction: P

Target: K
Prediction: P

Target: D
Prediction: P

Target: P
Prediction: P

Target: B
Prediction: P

Target: E
Prediction: P

Target: N
Prediction: P

Target: Q
Prediction: P

Target: D
Prediction: P

Target: B
Prediction: P

Target: H
Prediction: P

Target: S
Prediction: P

Target: S
Prediction: P

Target: C
Prediction: P

Target: D
Prediction: P

Target: R
Prediction: P

Target: K
Prediction: P

Target: R
Prediction: P

Target: S
Prediction: P

Target: Z
Prediction: P

Target: S
Prediction: P

Target: N
Prediction: P

Target: X
Prediction: P

Target: B
Prediction: P

Target: B
Prediction: P

Target: V
Prediction: P

Target: O
Prediction: P

Target: P
Prediction: P

Target: G
Prediction: P

Target: C
Prediction: P

Target: A
Prediction: P

Target: T
Prediction: P

Target: U
Prediction: P

Target: E
Prediction: P

Target: U
Prediction: P

Target: Y
Prediction: P

Target: O
Prediction: P

Target: Z
Prediction: P

Target: X
Prediction: P

Target: N
Prediction: P

Target: S
Prediction: P

Target: K
Prediction: P

Target: C
Prediction: P

Target: O
Prediction: P

Target: S
Prediction: P

Target: I
Prediction: P

Target: A
Prediction: P

Target: M
Prediction: P

Target: J
Prediction: P

Target: V
Prediction: P

Target: Y
Prediction: P

Target: U
Prediction: P

Target: N
Prediction: P

Target: E
Prediction: P

Target: T
Prediction: P

Target: G
Prediction: P

Target: Z
Prediction: P

Target: E
Prediction: P

Target: V
Prediction: P

Target: E
Prediction: P

Target: D
Prediction: P

Target: N
Prediction: P

Target: X
Prediction: P

Target: H
Prediction: P

Target: E
Prediction: P

Target: D
Prediction: P

Target: L
Prediction: P

Target: U
Prediction: P

Target: O
Prediction: P

Target: X
Prediction: P

Target: F
Prediction: P

Target: R
Prediction: P

Target: D
Prediction: P

Target: M
Prediction: P

Target: K
Prediction: P

Target: V
Prediction: P

Target: K
Prediction: P

Target: G
Prediction: P

Target: J
Prediction: P

Target: W
Prediction: P

Target: T
Prediction: P

Target: A
Prediction: P

Target: R
Prediction: P

Target: D
Prediction: P

Target: B
Prediction: P

Target: D
Prediction: P

Target: S
Prediction: P

Target: S
Prediction: P

Target: J
Prediction: P

Target: Y
Prediction: P

Target: G
Prediction: P

Target: U
Prediction: P

Target: N
Prediction: P

Target: B
Prediction: P

Target: K
Prediction: P

Target: B
Prediction: P

Target: M
Prediction: P

Target: K
Prediction: P

Target: G
Prediction: P

Target: U
Prediction: P

Target: E
Prediction: P

Target: F
Prediction: P

Target: W
Prediction: P

Target: A
Prediction: P

Target: P
Prediction: P

Target: B
Prediction: P

Target: S
Prediction: P

Target: T
Prediction: P

Target: O
Prediction: P

Target: I
Prediction: P

Target: T
Prediction: P

Target: R
Prediction: P

Target: R
Prediction: P

Target: L
Prediction: P

Target: M
Prediction: P

Target: K
Prediction: P

Target: E
Prediction: P

Target: B
Prediction: P

Target: M
Prediction: P

Target: C
Prediction: P

Target: E
Prediction: P

Target: J
Prediction: P

Target: I
Prediction: P

Target: G
Prediction: P

Target: A
Prediction: P

Target: W
Prediction: P

Target: X
Prediction: P

Target: G
Prediction: P

Target: Q
Prediction: P

Target: T
Prediction: P

Target: U
Prediction: P

Target: M
Prediction: P

Target: T
Prediction: P

Target: S
Prediction: P

Target: A
Prediction: P

Target: G
Prediction: P

Target: V
Prediction: P

Target: U
Prediction: P

Target: T
Prediction: P

Target: C
Prediction: P

Target: Q
Prediction: P

Target: V
Prediction: P

Target: G
Prediction: P

Target: K
Prediction: P

Target: D
Prediction: P

Average Error on Test Set: 1.0384615384615385

Correctly Predicted: 3.88% of test set

****************
Learning Rate: 1e-05
****************

Training log:
****************
Error after 100 epochs: 0.9615383031734747
Error after 500 epochs: 0.9615383001137742
Error after 1000 epochs: 0.961538296105495
Error after 2000 epochs: 0.9615382874111431
Error after 5000 epochs: 0.9615382542489221
Error after 10000 epochs: 0.9615381535486907

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: V

Target: F
Prediction: V

Target: H
Prediction: V

Target: B
Prediction: V

Target: E
Prediction: V

Target: H
Prediction: V

Target: U
Prediction: V

Target: W
Prediction: V

Target: S
Prediction: V

Target: O
Prediction: V

Target: V
Prediction: V

Target: A
Prediction: V

Target: C
Prediction: V

Target: B
Prediction: V

Target: A
Prediction: V

Target: H
Prediction: V

Target: H
Prediction: V

Target: R
Prediction: V

Target: X
Prediction: V

Target: O
Prediction: V

Target: R
Prediction: V

Target: O
Prediction: V

Target: W
Prediction: V

Target: J
Prediction: V

Target: V
Prediction: V

Target: K
Prediction: V

Target: S
Prediction: V

Target: C
Prediction: V

Target: Q
Prediction: V

Target: X
Prediction: V

Target: A
Prediction: V

Target: F
Prediction: V

Target: T
Prediction: V

Target: O
Prediction: V

Target: G
Prediction: V

Target: K
Prediction: V

Target: Y
Prediction: V

Target: H
Prediction: V

Target: Z
Prediction: V

Target: C
Prediction: V

Target: P
Prediction: V

Target: C
Prediction: V

Target: Z
Prediction: V

Target: H
Prediction: V

Target: H
Prediction: V

Target: O
Prediction: V

Target: R
Prediction: V

Target: A
Prediction: V

Target: Y
Prediction: V

Target: N
Prediction: V

Target: Q
Prediction: V

Target: F
Prediction: V

Target: I
Prediction: V

Target: I
Prediction: V

Target: R
Prediction: V

Target: J
Prediction: V

Target: T
Prediction: V

Target: D
Prediction: V

Target: Q
Prediction: V

Target: P
Prediction: V

Target: P
Prediction: V

Target: V
Prediction: V

Target: W
Prediction: V

Target: J
Prediction: V

Target: P
Prediction: V

Target: K
Prediction: V

Target: M
Prediction: V

Target: K
Prediction: V

Target: N
Prediction: V

Target: P
Prediction: V

Target: O
Prediction: V

Target: F
Prediction: V

Target: R
Prediction: V

Target: D
Prediction: V

Target: D
Prediction: V

Target: M
Prediction: V

Target: Z
Prediction: V

Target: R
Prediction: V

Target: M
Prediction: V

Target: T
Prediction: V

Target: A
Prediction: V

Target: W
Prediction: V

Target: W
Prediction: V

Target: K
Prediction: V

Target: E
Prediction: V

Target: F
Prediction: V

Target: G
Prediction: V

Target: Q
Prediction: V

Target: V
Prediction: V

Target: Y
Prediction: V

Target: G
Prediction: V

Target: Y
Prediction: V

Target: O
Prediction: V

Target: I
Prediction: V

Target: X
Prediction: V

Target: U
Prediction: V

Target: G
Prediction: V

Target: N
Prediction: V

Target: Q
Prediction: V

Target: Y
Prediction: V

Target: Z
Prediction: V

Target: H
Prediction: V

Target: Q
Prediction: V

Target: O
Prediction: V

Target: S
Prediction: V

Target: O
Prediction: V

Target: I
Prediction: V

Target: G
Prediction: V

Target: G
Prediction: V

Target: P
Prediction: V

Target: W
Prediction: V

Target: Q
Prediction: V

Target: F
Prediction: V

Target: X
Prediction: V

Target: B
Prediction: V

Target: F
Prediction: V

Target: X
Prediction: V

Target: X
Prediction: V

Target: I
Prediction: V

Target: E
Prediction: V

Target: I
Prediction: V

Target: J
Prediction: V

Target: P
Prediction: V

Target: P
Prediction: V

Target: D
Prediction: V

Target: X
Prediction: V

Target: V
Prediction: V

Target: F
Prediction: V

Target: V
Prediction: V

Target: W
Prediction: V

Target: P
Prediction: V

Target: Q
Prediction: V

Target: E
Prediction: V

Target: I
Prediction: V

Target: A
Prediction: V

Target: O
Prediction: V

Target: N
Prediction: V

Target: M
Prediction: V

Target: L
Prediction: V

Target: R
Prediction: V

Target: B
Prediction: V

Target: S
Prediction: V

Target: J
Prediction: V

Target: K
Prediction: V

Target: O
Prediction: V

Target: I
Prediction: V

Target: Y
Prediction: V

Target: B
Prediction: V

Target: R
Prediction: V

Target: J
Prediction: V

Target: Z
Prediction: V

Target: N
Prediction: V

Target: B
Prediction: V

Target: S
Prediction: V

Target: U
Prediction: V

Target: J
Prediction: V

Target: Q
Prediction: V

Target: T
Prediction: V

Target: Z
Prediction: V

Target: F
Prediction: V

Target: J
Prediction: V

Target: L
Prediction: V

Target: V
Prediction: V

Target: I
Prediction: V

Target: U
