Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 60
Number of Epochs: 100000

****************
Learning Rate: 5e-06
****************

Training log:
****************
Error after 100 epochs: 0.45922230487768056
Error after 1000 epochs: 0.18265331375658983
Error after 10000 epochs: 0.08508537756211462
Error after 25000 epochs: 0.07699029375004549
Error after 50000 epochs: 0.070260127169575
Error after 100000 epochs: 0.06937641524702694

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: F

Target: H
Prediction: K

Target: B
Prediction: B

Target: E
Prediction: E

Target: H
Prediction: Q

Target: U
Prediction: U

Target: W
Prediction: W

Target: S
Prediction: S

Target: O
Prediction: O

Target: V
Prediction: V

Target: A
Prediction: A

Target: C
Prediction: C

Target: B
Prediction: B

Target: A
Prediction: A

Target: H
Prediction: O

Target: H
Prediction: H

Target: R
Prediction: R

Target: X
Prediction: X

Target: O
Prediction: O

Target: R
Prediction: R

Target: O
Prediction: O

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: V

Target: K
Prediction: K

Target: S
Prediction: B

Target: C
Prediction: O

Target: Q
Prediction: Q

Target: X
Prediction: X

Target: A
Prediction: A

Target: F
Prediction: F

Target: T
Prediction: T

Target: O
Prediction: O

Target: G
Prediction: G

Target: K
Prediction: K

Target: Y
Prediction: Y

Target: H
Prediction: H

Target: Z
Prediction: Z

Target: C
Prediction: C

Target: P
Prediction: P

Target: C
Prediction: C

Target: Z
Prediction: Z

Target: H
Prediction: H

Target: H
Prediction: H

Target: O
Prediction: O

Target: R
Prediction: R

Target: A
Prediction: A

Target: Y
Prediction: Q

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: F
Prediction: F

Target: I
Prediction: Q

Target: I
Prediction: I

Target: R
Prediction: O

Target: J
Prediction: J

Target: T
Prediction: T

Target: D
Prediction: D

Target: Q
Prediction: Q

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: V

Target: W
Prediction: W

Target: J
Prediction: J

Target: P
Prediction: B

Target: K
Prediction: B

Target: M
Prediction: B

Target: K
Prediction: H

Target: N
Prediction: N

Target: P
Prediction: B

Target: O
Prediction: O

Target: F
Prediction: F

Target: R
Prediction: R

Target: D
Prediction: Z

Target: D
Prediction: D

Target: M
Prediction: M

Target: Z
Prediction: Z

Target: R
Prediction: R

Target: M
Prediction: M

Target: T
Prediction: B

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: X

Target: E
Prediction: E

Target: F
Prediction: F

Target: G
Prediction: Q

Target: Q
Prediction: Q

Target: V
Prediction: V

Target: Y
Prediction: Y

Target: G
Prediction: O

Target: Y
Prediction: Y

Target: O
Prediction: O

Target: I
Prediction: I

Target: X
Prediction: X

Target: U
Prediction: U

Target: G
Prediction: Q

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: Y
Prediction: Y

Target: Z
Prediction: X

Target: H
Prediction: O

Target: Q
Prediction: Q

Target: O
Prediction: B

Target: S
Prediction: S

Target: O
Prediction: O

Target: I
Prediction: I

Target: G
Prediction: Q

Target: G
Prediction: E

Target: P
Prediction: P

Target: W
Prediction: W

Target: Q
Prediction: B

Target: F
Prediction: F

Target: X
Prediction: X

Target: B
Prediction: O

Target: F
Prediction: F

Target: X
Prediction: X

Target: X
Prediction: X

Target: I
Prediction: I

Target: E
Prediction: E

Target: I
Prediction: I

Target: J
Prediction: R

Target: P
Prediction: P

Target: P
Prediction: Y

Target: D
Prediction: B

Target: X
Prediction: X

Target: V
Prediction: V

Target: F
Prediction: F

Target: V
Prediction: V

Target: W
Prediction: W

Target: P
Prediction: Y

Target: Q
Prediction: Q

Target: E
Prediction: I

Target: I
Prediction: X

Target: A
Prediction: A

Target: O
Prediction: O

Target: N
Prediction: N

Target: M
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: E

Target: B
Prediction: B

Target: S
Prediction: S

Target: J
Prediction: J

Target: K
Prediction: X

Target: O
Prediction: O

Target: I
Prediction: I

Target: Y
Prediction: Y

Target: B
Prediction: B

Target: R
Prediction: R

Target: J
Prediction: J

Target: Z
Prediction: Z

Target: N
Prediction: N

Target: B
Prediction: B

Target: S
Prediction: S

Target: U
Prediction: U

Target: J
Prediction: J

Target: Q
Prediction: Q

Target: T
Prediction: T

Target: Z
Prediction: Z

Target: F
Prediction: W

Target: J
Prediction: J

Target: L
Prediction: L

Target: V
Prediction: V

Target: I
Prediction: Q

Target: U
Prediction: U

Target: K
Prediction: K

Target: E
Prediction: E

Target: F
Prediction: F

Target: N
Prediction: N

Target: A
Prediction: B

Target: N
Prediction: N

Target: B
Prediction: E

Target: J
Prediction: J

Target: P
Prediction: P

Target: Z
Prediction: Z

Target: W
Prediction: W

Target: F
Prediction: F

Target: X
Prediction: X

Target: R
Prediction: R

Target: H
Prediction: Q

Target: L
Prediction: L

Target: R
Prediction: R

Target: O
Prediction: O

Target: K
Prediction: K

Target: S
Prediction: S

Target: C
Prediction: C

Target: Y
Prediction: X

Target: Z
Prediction: Z

Target: F
Prediction: F

Target: C
Prediction: X

Target: H
Prediction: H

Target: T
Prediction: T

Target: R
Prediction: R

Target: S
Prediction: S

Target: D
Prediction: D

Target: E
Prediction: E

Target: A
Prediction: A

Target: E
Prediction: E

Target: Y
Prediction: Y

Target: P
Prediction: P

Target: J
Prediction: J

Target: W
Prediction: W

Target: M
Prediction: M

Target: H
Prediction: R

Target: I
