Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 60
Number of Epochs: 2000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.08652958615559643
Error after 500 epochs: 0.07642832468270185
Error after 1000 epochs: 0.07821500353254211
Error after 2000 epochs: 0.07959389771249928

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: I

Target: H
Prediction: Y

Target: B
Prediction: L

Target: E
Prediction: L

Target: H
Prediction: W

Target: U
Prediction: M

Target: W
Prediction: W

Target: S
Prediction: L

Target: O
Prediction: L

Target: V
Prediction: W

Target: A
Prediction: A

Target: C
Prediction: U

Target: B
Prediction: L

Target: A
Prediction: A

Target: H
Prediction: L

Target: H
Prediction: M

Target: R
Prediction: L

Target: X
Prediction: L

Target: O
Prediction: L

Target: R
Prediction: M

Target: O
Prediction: J

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: W

Target: K
Prediction: L

Target: S
Prediction: W

Target: C
Prediction: L

Target: Q
Prediction: M

Target: X
Prediction: A

Target: A
Prediction: A

Target: F
Prediction: V

Target: T
Prediction: V

Target: O
Prediction: M

Target: G
Prediction: L

Target: K
Prediction: V

Target: Y
Prediction: W

Target: H
Prediction: M

Target: Z
Prediction: L

Target: C
Prediction: L

Target: P
Prediction: P

Target: C
Prediction: L

Target: Z
Prediction: L

Target: H
Prediction: M

Target: H
Prediction: M

Target: O
Prediction: L

Target: R
Prediction: L

Target: A
Prediction: A

Target: Y
Prediction: M

Target: N
Prediction: W

Target: Q
Prediction: V

Target: F
Prediction: V

Target: I
Prediction: A

Target: I
Prediction: A

Target: R
Prediction: M

Target: J
Prediction: J

Target: T
Prediction: Y

Target: D
Prediction: P

Target: Q
Prediction: A

Target: P
Prediction: V

Target: P
Prediction: P

Target: V
Prediction: W

Target: W
Prediction: W

Target: J
Prediction: A

Target: P
Prediction: J

Target: K
Prediction: M

Target: M
Prediction: M

Target: K
Prediction: A

Target: N
Prediction: W

Target: P
Prediction: L

Target: O
Prediction: A

Target: F
Prediction: P

Target: R
Prediction: L

Target: D
Prediction: M

Target: D
Prediction: L

Target: M
Prediction: M

Target: Z
Prediction: L

Target: R
Prediction: L

Target: M
Prediction: M

Target: T
Prediction: W

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: V

Target: E
Prediction: J

Target: F
Prediction: U

Target: G
Prediction: L

Target: Q
Prediction: W

Target: V
Prediction: W

Target: Y
Prediction: W

Target: G
Prediction: L

Target: Y
Prediction: W

Target: O
Prediction: L

Target: I
Prediction: J

Target: X
Prediction: Y

Target: U
Prediction: U

Target: G
Prediction: M

Target: N
Prediction: W

Target: Q
Prediction: V

Target: Y
Prediction: U

Target: Z
Prediction: L

Target: H
Prediction: L

Target: Q
Prediction: A

Target: O
Prediction: L

Target: S
Prediction: L

Target: O
Prediction: L

Target: I
Prediction: J

Target: G
Prediction: W

Target: G
Prediction: W

Target: P
Prediction: P

Target: W
Prediction: W

Target: Q
Prediction: A

Target: F
Prediction: I

Target: X
Prediction: A

Target: B
Prediction: M

Target: F
Prediction: U

Target: X
Prediction: L

Target: X
Prediction: L

Target: I
Prediction: J

Target: E
Prediction: A

Target: I
Prediction: J

Target: J
Prediction: W

Target: P
